Hand,Score
2;2;o,5.0
2;3;s,5.0
2;4;s,4.0
2;5;s,3.0
2;6;s,1.0
2;7;s,1.0
2;8;s,1.0
2;9;s,2.0
2;10;s,2.0
2;11;s,3.0
2;12;s,4.0
2;13;s,5.0
2;14;s,7.0
3;2;o,3.0
3;3;o,5.0
3;4;s,5.0
3;5;s,5.0
3;6;s,3.0
3;7;s,2.0
3;8;s,1.0
3;9;s,2.0
3;10;s,2.0
3;11;s,3.0
3;12;s,4.0
3;13;s,5.0
3;14;s,7.0
4;2;o,2.0
4;3;o,3.0
4;4;o,5.0
4;5;s,6.0
4;6;s,5.0
4;7;s,4.0
4;8;s,2.0
4;9;s,2.0
4;10;s,2.0
4;11;s,3.0
4;12;s,4.0
4;13;s,5.0
4;14;s,7.0
5;2;o,1.0
5;3;o,3.0
5;4;o,4.0
5;5;o,5.0
5;6;s,6.0
5;7;s,6.0
5;8;s,4.0
5;9;s,3.0
5;10;s,2.0
5;11;s,3.0
5;12;s,4.0
5;13;s,5.0
5;14;s,7.0
6;2;o,-1.0
6;3;o,1.0
6;4;o,3.0
6;5;o,4.0
6;6;o,6.0
6;7;s,7.0
6;8;s,6.0
6;9;s,5.0
6;10;s,3.0
6;11;s,3.0
6;12;s,4.0
6;13;s,5.0
6;14;s,7.0
7;2;o,-1.0
7;3;o,-0.0
7;4;o,2.0
7;5;o,4.0
7;6;o,5.0
7;7;o,7.0
7;8;s,7.0
7;9;s,7.0
7;10;s,5.0
7;11;s,4.0
7;12;s,4.0
7;13;s,5.0
7;14;s,7.0
8;2;o,-1.0
8;3;o,-1.0
8;4;o,0.0
8;5;o,2.0
8;6;o,4.0
8;7;o,5.0
8;8;o,8.0
8;9;s,8.0
8;10;s,7.0
8;11;s,6.0
8;12;s,5.0
8;13;s,5.0
8;14;s,7.0
9;2;o,-0.0
9;3;o,-0.0
9;4;o,-0.0
9;5;o,1.0
9;6;o,3.0
9;7;o,5.0
9;8;o,6.0
9;9;o,9.0
9;10;s,8.0
9;11;s,8.0
9;12;s,7.0
9;13;s,6.0
9;14;s,7.0
10;2;o,0.0
10;3;o,0.0
10;4;o,0.0
10;5;o,0.0
10;6;o,1.0
10;7;o,3.0
10;8;o,5.0
10;9;o,6.0
10;10;o,10.0
10;11;s,9.0
10;12;s,8.0
10;13;s,8.0
10;14;s,8.0
11;2;o,1.0
11;3;o,1.0
11;4;o,1.0
11;5;o,1.0
11;6;o,1.0
11;7;o,2.0
11;8;o,4.0
11;9;o,6.0
11;10;o,7.0
11;11;o,12.0
11;12;s,9.0
11;13;s,9.0
11;14;s,10.0
12;2;o,2.0
12;3;o,2.0
12;4;o,2.0
12;5;o,2.0
12;6;o,2.0
12;7;o,2.0
12;8;o,3.0
12;9;o,5.0
12;10;o,6.0
12;11;o,7.0
12;12;o,14.0
12;13;s,10.0
12;14;s,11.0
13;2;o,3.0
13;3;o,3.0
13;4;o,3.0
13;5;o,3.0
13;6;o,3.0
13;7;o,3.0
13;8;o,3.0
13;9;o,4.0
13;10;o,6.0
13;11;o,7.0
13;12;o,8.0
13;13;o,16.0
13;14;s,12.0
14;2;o,5.0
14;3;o,5.0
14;4;o,5.0
14;5;o,5.0
14;6;o,5.0
14;7;o,5.0
14;8;o,5.0
14;9;o,5.0
14;10;o,6.0
14;11;o,8.0
14;12;o,9.0
14;13;o,10.0
14;14;o,20.0
